Titel,Autor,Jahr,Journal,Typ,DOI
restoring movement representation and alleviating phantom limb pain through short-term neurorehabilitation with a virtual reality system,"osumi, m.; ichinose, a.; sumitani, m.; wake, n.; sano, y.; yozu, a.; kumagaya, s.; kuniyoshi, y.; morioka, s.",2017,european journal of pain,,10.1002/ejp.910
innovative experiences in interactive devices applied to videogames: the oculus rift case,"ramirez alvarado, maria del mar; navarrete-cardero, luis",2017,adcomunica-revista cientifica de estrategias tendencias e innovacion en communicacion,,10.6035/2174-0992.2017.13.12
immersion factors affecting perception and behaviour in a virtual reality power wheelchair simulator,"alshaer, abdulaziz; regenbrecht, holger; o'hare, david",2017,applied ergonomics,,10.1016/j.apergo.2016.05.003
the impact of virtual reality on chronic pain,"jones, ted; moore, todd; choo, james",2016,plos one,,10.1371/journal.pone.0167523
enhancing our lives with immersive virtual reality,"slater, mel; sanchez-vives, maria v.",2016,frontiers in robotics and ai,,10.3389/frobt.2016.00074
overlapped-area removal-based image interpolation for head-mounted displays,"ahn, yong-deok; kang, suk-ju",2016,journal of display technology,,10.1109/JDT.2016.2617889
freehand gesture and tactile interaction for shape design,"bordegoni, monica; covarrubias, mario; caruso, giandomenico; cugini, umberto",2016,journal of computing and information science in engineering,,10.1115/1.4033230
using the virtual reality device oculus rift for neuropsychological assessment of visual processing capabilities,"foerster, rebecca m.; poth, christian h.; behler, christian; botsch, mario; schneider, werner x.",2016,scientific reports,,10.1038/srep37016
interactive scientific visualization in 3d virtual reality model,"popovski, filip; nedelkovski, igor; mijakovska, svetlana; nalevska, gorica popovska",2016,tem journal-technology education management informatics,,10.18421/TEM54-04
high-fidelity facial and speech animation for vr hmds,"olszewski, kyle; lim, joseph j.; saito, shunsuke; li, hao",2016,acm transactions on graphics,,10.1145/2980179.2980252
towards foveated rendering for gaze-tracked virtual reality,"patney, anjul; salvi, marco; kim, joohwan; kaplanyan, anton; wyman, chris; benty, nir; luebke, david; lefohn, aaron",2016,acm transactions on graphics,,10.1145/2980179.2980246
individual differences in virtual reality: are spatial presence and spatial ability linked?,"coxon, matthew; kelly, nathan; page, sarah",2016,virtual reality,,10.1007/s10055-016-0292-x
a questionnaire for measuring presence in virtual environments: factor analysis of the presence questionnaire and adaptation into brazilian portuguese,"silva, gustavo r.; donat, julia c.; rigoli, marcelo m.; de oliveira, fernando r.; kristensen, christian h.",2016,virtual reality,,10.1007/s10055-016-0295-7
examining the role of smart tvs and vr hmds in synchronous at-a-distance media consumption,"mcgill, mark; williamson, john h.; brewster, stephen",2016,acm transactions on computer-human interaction,,10.1145/2983530
a framework for aligning instructional design strategies with affordances of cave immersive virtual reality systems,"ritz, leah t.; buss, alan r.",2016,techtrends,,10.1007/s11528-016-0085-9
"non-hierarchical influence of visual form, touch, and position cues on embodiment, agency, and presence in virtual reality","pritchard, stephen c.; zopf, regine; polito, vince; kaplan, david m.; williams, mark a.",2016,frontiers in psychology,,10.3389/fpsyg.2016.01649
a rift in the ground: theorizing the evolution of anchor values in crowdfunding communities through the oculus rift case study,"gleasure, rob; feller, joseph",2016,journal of the association for information systems,,0
application of virtual reality head mounted display for investigation of movement: a novel effect of orientation of attention,"quinlivan, brendan; butler, john s.; beiser, ines; williams, laura; mcgovern, eavan; o'riordan, sean; hutchinson, michael; reilly, richard b.",2016,journal of neural engineering,,10.1088/1741-2560/13/5/056006
foveated real-time ray tracing for head-mounted displays,"weier, martin; roth, thorsten; kruijff, ernst; hinkenjann, andre; perard-gayot, arsene; slusallek, philipp; li, yongmin",2016,computer graphics forum,,10.1111/cgf.13026
"human field of regard, field of view, and attention bias","jang, woncheol; shin, joon-ho; kim, mingyu; kim, kwanguk (kenny)",2016,computer methods and programs in biomedicine,,10.1016/j.cmpb.2016.07.026
mobile vr in education: from the fringe to the mainstream,"cochrane, thomas",2016,international journal of mobile and blended learning,,10.4018/IJMBL.2016100104
application of precise indoor position tracking to immersive virtual reality with translational movement support,"shin, jongkyu; an, gwangseok; park, joon-sang; baek, seung jun; lee, kyogu",2016,multimedia tools and applications,,10.1007/s11042-016-3520-1
modeling and optimization of a tree based on virtual reality for immersive virtual landscape generation,"kim, jinmo",2016,symmetry-basel,,10.3390/sym8090093
a comparative evaluation of viewing metaphors on psychophysical skills education in an interactive virtual environment,"parmar, dhaval; bertrand, jeffrey; babu, sabarish v.; madathil, kapil; zelaya, melissa; wang, tianwei; wagner, john; gramopadhye, anand k.; frady, kristin",2016,virtual reality,,10.1007/s10055-016-0287-7
an objective measure for the visual fidelity of virtual reality and the risks of falls in a virtual environment,"menzies, r. j.; rogers, s. j.; phillips, a. m.; chiarovano, e.; de waele, c.; verstraten, f. a. j.; macdougall, h.",2016,virtual reality,,10.1007/s10055-016-0288-6
development of an immersive virtual reality head-mounted display with high performance,"wang, yunqi; liu, weiqi; meng, xiangxiang; fu, hanyi; zhang, daliang; kang, yusi; feng, rui; wei, zhonglun; zhu, xiuqing; jiang, guohua",2016,applied optics,,10.1364/AO.55.006969
"virtual reality musical instruments: state of the art, design principles, and future directions","serafin, stefania; erkut, cumhur; kojs, juraj; nilsson, niels c.; nordahl, rolf",2016,computer music journal,,10.1162/COMJ_a_00372
use of physiological signals to predict cybersickness,"dennison, mark s.; wisti, a. zachary; d'zmura, michael",2016,displays,,10.1016/j.displa.2016.07.002
brief report: a pilot study of the use of a virtual reality headset in autism populations,"newbutt, nigel; sung, connie; kuo, hung-jen; leahy, michael j.; lin, chien-chun; tong, boyang",2016,journal of autism and developmental disorders,,10.1007/s10803-016-2830-5
acceleration for computer-generated hologram in head-mounted display with effective diffraction area recording method for eyes,"chen, zhidong; sang, xinzhu; lin, qiaojuan; li, jin; yu, xunbo; gao, xin; yan, binbin; yu, chongxiu; dou, wenhua; xiao, liquan",2016,chinese optics letters,,10.3788/COL201614.080901
feasibility of a walking virtual reality system for rehabilitation: objective and subjective parameters,"borrego, adrin; latorre, jorge; llorens, roberto; alcaniz, mariano; noe, enrique",2016,journal of neuroengineering and rehabilitation,,10.1186/s12984-016-0174-1
effects of visual latency on vehicle driving behavior,"blissing, bjorn; bruzelius, fredrik; eriksson, olle",2016,acm transactions on applied perception,,10.1145/2971320
the effects of virtual reality learning environment on student cognitive and linguistic development,"chen, yu-li",2016,asia-pacific education researcher,,10.1007/s40299-016-0293-2
social influence on evacuation behavior in real and virtual environments,"kinateder, max; warren, william h.",2016,frontiers in robotics and ai,,10.3389/frobt.2016.00043
design of a serious game for handling obstetrical emergencies,"gautier, estelle jean dit; bot-robin, virginie; libessart, aurelien; doucede, guillaume; cosson, michel; rubod, chrystele",2016,jmir serious games,,10.2196/games.5526
mapping virtual and physical reality,"sun, qi; wei, li-yi; kaufman, arie",2016,acm transactions on graphics,,10.1145/2897824.2925883
effects of visual display on joint excursions used to play virtual dodgeball,"thomas, james s.; france, christopher r.; applegate, megan e.; leitkam, samuel t.; pidcoe, peter e.; walkowski, stevan",2016,jmir serious games,,10.2196/games.6476
design and comparison of immersive gesture interfaces for hmd based virtual world navigation,"sohn, bong-soo",2016,ieice transactions on information and systems,,10.1587/transinf.2016EDL8028
neck motion kinematics: an inter-tester reliability study using an interactive neck vr assessment in asymptomatic individuals,"bahat, hilla sarig; sprecher, elliot; sela, itamar; treleaven, julia",2016,european spine journal,,10.1007/s00586-016-4388-5
the effect of viewing a virtual environment through a head-mounted display on balance,"robert, maxime t.; ballaz, laurent; lemay, martin",2016,gait & posture,,10.1016/j.gaitpost.2016.06.010
"a study of layout, rendering, and interaction methods for immersive graph visualization","kwon, oh-hyun; muelder, chris; lee, kyungwon; ma, kwan-liu",2016,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2016.2520921
resolving the vergence-accommodation conflict in head-mounted displays,"kramida, gregory",2016,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2015.2473855
effects of head-mounted display on the oculomotor system and refractive error in normal adolescents,"ha, suk-gyu; na, kun-hoo; kweon, il-joo; suh, young-woo; kim, seung-hyun",2016,journal of pediatric ophthalmology & strabismus,,10.3928/01913913-20160511-01
"the potential of virtual reality technologies to support people with an autism condition: a case study of acceptance, presence and negative effects","newbutt, nigel; sung, connie; kuo, hung jen; leahy, michael. j.",2016,annual review of cybertherapy and telemedicine,,0
being different: the transformative potential of virtual reality,"riva, giuseppe; wiederhold, brenda k.; gaggioli, andrea",2016,annual review of cybertherapy and telemedicine,,0
ergonomic evaluation of interaction techniques and 3d menus for the practical design of 3d stereoscopic displays,"jeong, seongwook; jung, eui s.; im, youngjae",2016,international journal of industrial ergonomics,,10.1016/j.ergon.2016.01.001
bigdata oriented multimedia mobile health applications,"lv, zhihan; chirivella, javier; gagliardo, pablo",2016,journal of medical systems,,10.1007/s10916-016-0475-8
assistive peripheral phosphene arrays deliver advantages in obstacle avoidance in simulated end-stage retinitis pigmentosa: a virtual-reality study,"zapf, marc patrick h.; boon, mei-ying; lovell, nigel h.; suaning, gregg j.",2016,journal of neural engineering,,10.1088/1741-2560/13/2/026022
ibet: immersive visualization of biological electron-transfer dynamics,"nakano, c. masato; moen, erick; byun, hye suk; ma, heng; newman, bradley; mcdowell, alexander; wei, tao; el-naggar, mohamed y.",2016,journal of molecular graphics & modelling,,10.1016/j.jmgm.2016.02.009
"who turned the clock? effects of manipulated zeitgebers, cognitive load and immersion on time estimation","schatzschneider, christian; bruder, gerd; steinicke, frank",2016,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2016.2518137
examining rotation gain in cave-like virtual environments,"freitag, sebastian; weyers, benjamin; kuhlen, torsten w.",2016,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2016.2518298
taking immersive vr leap in training of landing signal officers,"greunke, larry; sadagic, amela",2016,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2016.2518098
construction and evaluation of an ultra low latency frameless renderer for vr,"friston, sebastian; steed, anthony; tilbury, simon; gaydadjiev, georgi",2016,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2016.2518079
